[2023-05-18 04:48:50,378791] front.INFO  [NULL] [5a639462] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 115.85.30.27, NULL, Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36]
[2023-05-18 04:48:50,379278] front.INFO  [NULL] [5a639462] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 115.85.30.27, NULL, Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36]
[2023-05-18 04:48:50,387703] front.INFO  [384f8d86] [5a639462] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 115.85.30.27, NULL, Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36]
[2023-05-18 04:48:50,408335] front.INFO  [384f8d86] [5a639462] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 115.85.30.27, NULL, Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36]
[2023-05-18 04:48:50,408951] front.INFO  [384f8d86] [5a639462] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 115.85.30.27, NULL, Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36]
[2023-05-18 04:54:02,839350] front.INFO  [NULL] [cfd12e12] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /contact, 198.203.28.210, NULL, Mozilla/5.0 (X11; Linux i686; rv:102.0) Gecko/20100101 Firefox/102.0]
[2023-05-18 04:54:02,840037] front.INFO  [NULL] [cfd12e12] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["contact"]  [GET, /contact, 198.203.28.210, NULL, Mozilla/5.0 (X11; Linux i686; rv:102.0) Gecko/20100101 Firefox/102.0]
[2023-05-18 04:54:02,851800] front.INFO  [66532485] [cfd12e12] [NULL] [LogListener:onKernelController:73] - LOGIC START ["contact"]  [GET, /contact, 198.203.28.210, NULL, Mozilla/5.0 (X11; Linux i686; rv:102.0) Gecko/20100101 Firefox/102.0]
[2023-05-18 04:54:02,873204] front.INFO  [66532485] [cfd12e12] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["contact"]  [GET, /contact, 198.203.28.210, NULL, Mozilla/5.0 (X11; Linux i686; rv:102.0) Gecko/20100101 Firefox/102.0]
[2023-05-18 04:54:02,873928] front.INFO  [66532485] [cfd12e12] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["contact"]  [GET, /contact, 198.203.28.210, NULL, Mozilla/5.0 (X11; Linux i686; rv:102.0) Gecko/20100101 Firefox/102.0]
[2023-05-18 04:54:03,602490] front.INFO  [NULL] [8885e5d8] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /contact, 198.203.28.210, http://biken-shop-mall.com/contact, Mozilla/5.0 (X11; Linux i686; rv:102.0) Gecko/20100101 Firefox/102.0]
[2023-05-18 04:54:03,603022] front.INFO  [66532485] [8885e5d8] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["contact"]  [POST, /contact, 198.203.28.210, http://biken-shop-mall.com/contact, Mozilla/5.0 (X11; Linux i686; rv:102.0) Gecko/20100101 Firefox/102.0]
[2023-05-18 04:54:03,610900] front.INFO  [66532485] [8885e5d8] [NULL] [LogListener:onKernelController:73] - LOGIC START ["contact"]  [POST, /contact, 198.203.28.210, http://biken-shop-mall.com/contact, Mozilla/5.0 (X11; Linux i686; rv:102.0) Gecko/20100101 Firefox/102.0]
[2023-05-18 04:54:03,644927] front.INFO  [66532485] [8885e5d8] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["contact"]  [POST, /contact, 198.203.28.210, http://biken-shop-mall.com/contact, Mozilla/5.0 (X11; Linux i686; rv:102.0) Gecko/20100101 Firefox/102.0]
[2023-05-18 04:54:03,645526] front.INFO  [66532485] [8885e5d8] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["contact"]  [POST, /contact, 198.203.28.210, http://biken-shop-mall.com/contact, Mozilla/5.0 (X11; Linux i686; rv:102.0) Gecko/20100101 Firefox/102.0]
[2023-05-18 05:36:51,616902] front.INFO  [NULL] [b4883078] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 34.222.252.25, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64)AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
[2023-05-18 05:36:51,617534] front.INFO  [NULL] [b4883078] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 34.222.252.25, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64)AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
